Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Santa Luzia Do Paruá,Todas,9º ano,Matemática,255,85.09999999999999,58.04,37.48,3.66,0.82,4.48,1.01
Santa Quitéria Do Maranhão ,Todas,9º ano,Matemática,313,84.66,65.84999999999999,32.5,1.65,0,1.65,0.09
Santa Rita,Todas,9º ano,Matemática,308,85.70999999999999,45.75,49.23,4.67,0.35,5.02,5.02
Santana Do Maranhão,Todas,9º ano,Matemática,66,81.81999999999999,34.17,57.5,8.33,0,8.33,5.16
Santo Amaro Do Maranhão,Todas,9º ano,Matemática,100,93,65.11,32.81,2.08,0,2.08,2.08
Santo Antônio Dos Lopes,Todas,9º ano,Matemática,125,88,45.52,52.81,1.67,0,1.67,-1.95
São Benedito Do Rio Preto,Todas,9º ano,Matemática,292,80.48,66.70999999999999,30.81,2.48,0,2.48,2.48
São Bento,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,55.87,41.03,3.1,0,3.1,1.05
São Bernardo,Todas,9º ano,Matemática,179,84.92,51.68,45.72,2.6,0,2.6,0.88
São Domingos Do Azeitão,Todas,9º ano,Matemática,64,100,31.12,64.47,1.47,2.94,4.41,-4.17
São Domingos Do Maranhão ,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,37.9,58.93,3.17,0,3.17,0.96
São Félix De Balsas,Todas,9º ano,Matemática,20,90,44.45,55.55,0,0,0,-2.04
São Francisco Do Brejão,Todas,9º ano,Matemática,57,80.7,19.65,65.06,15.29,0,15.3,7.43
São Francisco Do Maranhão ,Todas,9º ano,Matemática,27,88.89,70.84,25.01,4.15,0,4.15,-1.48
São João Batista,Todas,9º ano,Matemática,211,86.73,63.65,35.75,0.6,0,0.6,0.6
São João Do Carú,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,23.84,66.86,8.56,0.74,9.300000000000001,5.85
São João Do Paraíso,Todas,9º ano,Matemática,113,81.42,50.69,46.14,3.17,0,3.17,-1.7
São João Do Soter,Todas,9º ano,Matemática,106,70.75,40.83,59.17,0,0,0,-1.26
São João Dos Patos,Todas,9º ano,Matemática,345,87.25,31.36,54.77,12.23,1.64,13.87,0.3
São José De Ribamar,Todas,9º ano,Matemática,526,88.20999999999999,45.54,50.47,3.8,0.19,3.99,-2.18
São José Dos Basílios,Todas,9º ano,Matemática,78,73.08,53.36,43.2,3.44,0,3.44,0.29
São Luís,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,42.76,50.07,6.2,0.97,7.17,1.01
São Luís Gonzaga Do Maranhão,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,51.96,45.6,2.44,0,2.44,0
São Mateus Do Maranhão,Todas,9º ano,Matemática,600,84.83,61.51,35.63,2.86,0,2.86,1.31
São Pedro Da Água Branca,Todas,9º ano,Matemática,129,84.5,51.68,44.06,4.26,0,4.26,2.24
São Pedro Dos Crentes,Todas,9º ano,Matemática,57,92.98,50.66,45.39,3.95,0,3.95,3.95
São Raimundo Das Mangabeiras,Todas,9º ano,Matemática,270,86.3,46.37,45.45,8.18,0,8.18,3.68
São Raimundo Do Doca Bezerra,Todas,9º ano,Matemática,51,88.23999999999999,38.58,53.3,8.119999999999999,0,8.119999999999999,3.77
São Roberto,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,39.34,58.76,1.9,0,1.9,0
São Vicente Ferrer,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,69.39,29.08,1.53,0,1.53,1.53
Satubinha,Todas,9º ano,Matemática,89,65.17,65.56999999999999,32.68,1.75,0,1.75,0
Senador Alexandre Costa,Todas,9º ano,Matemática,145,77.93000000000001,46.12,53.07,0.8100000000000001,0,0.8100000000000001,0.8100000000000001
Senador La Rocque,Todas,9º ano,Matemática,144,72.22,58.65,39.49,1.86,0,1.85,-2.14
Serrano Do Maranhão,Todas,9º ano,Matemática,100,55,44.87,47.62,7.51,0,7.51,6.6
Sítio Novo,Todas,9º ano,Matemática,176,89.77,42.15,51.59,6.26,0,6.26,3.56
Sucupira Do Norte,Todas,9º ano,Matemática,86,98.84,45.1,47.55,7.35,0,7.35,5.78
Sucupira Do Riachão,Todas,9º ano,Matemática,28,89.29000000000001,48,40,12,0,12,0.64
Tasso Fragoso,Todas,9º ano,Matemática,121,91.73999999999999,46.44,45.59,7.97,0,7.97,1.22
Timbiras,Todas,9º ano,Matemática,288,85.06999999999999,60.23,37.76,2.01,0,2.01,0.42
Timon,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,37.11,55.2,7.21,0.48,7.69,2.66
Trizidela Do Vale,Todas,9º ano,Matemática,236,83.90000000000001,42.01,50.01,7.45,0.53,7.98,-0.66
Tufilândia,Todas,9º ano,Matemática,38,71.05,70.42,25.9,3.68,0,3.68,0.17
Tuntum,Todas,9º ano,Matemática,170,90,52.42,42.13,5.45,0,5.45,4.11
Turiaçu,Todas,9º ano,Matemática,215,90.7,39.5,55.96,4.54,0,4.54,2.25
Turilândia,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,53.5,44.56,1.94,0,1.94,-1.93
Tutóia,Todas,9º ano,Matemática,261,89.27,46.12,49.67,4.21,0,4.21,1.69
Urbano Santos,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,63.41,35.84,0.75,0,0.75,0.49
Vargem Grande,Todas,9º ano,Matemática,580,87.76000000000001,50,47.13,2.52,0.35,2.87,0.44
Viana,Todas,9º ano,Matemática,454,91.84999999999999,42.56,54.76,2.2,0.48,2.69,2.05
Vila Nova Dos Martírios,Todas,9º ano,Matemática,127,92.91,52.48,45.07,2.45,0,2.45,1.48
Vitória Do Mearim,Todas,9º ano,Matemática,248,89.52,45.43,50.51,4.06,0,4.06,3.46
Vitorino Freire,Todas,9º ano,Matemática,302,91.06,46.04,50.14,3.82,0,3.82,1.11
Zé Doca,Todas,9º ano,Matemática,531,83.8,59.23,39.69,1.08,0,1.08,-0.83
