Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Mara Rosa,Todas,9º ano,Matemática,125,90.40000000000001,16.96,55.53,26.73,0.78,27.51,9.869999999999999
Marzagão,Todas,9º ano,Matemática,34,79.41,40.74,44.44,7.41,7.41,14.82,1.72
Matrinchã,Todas,9º ano,Matemática,31,83.87,23.07,57.7,11.55,7.68,19.23,1.65
Maurilândia,Todas,9º ano,Matemática,167,83.23,39.82,49.71,9.73,0.74,10.47,0.75
Mimoso De Goiás,Todas,9º ano,Matemática,51,96.08,40.74,53.08,6.18,0,6.18,3.12
Minaçu,Todas,9º ano,Matemática,387,88.11,19.97,61.25,16.8,1.98,18.78,3.44
Mineiros,Todas,9º ano,Matemática,641,89.86,16.36,57.57,23.46,2.61,26.07,-6.02
Monte Alegre De Goiás,Todas,9º ano,Matemática,69,85.51000000000001,29.81,56.41,12.33,1.45,13.78,-6.3
Montes Claros De Goiás,Todas,9º ano,Matemática,21,76.19,25.01,62.51,12.48,0,12.48,-4.73
Montividiu,Todas,9º ano,Matemática,134,79.09999999999999,33.75,61.31,4.94,0,4.94,2.07
Montividiu Do Norte,Todas,9º ano,Matemática,34,88.23999999999999,19.03,78.03,2.94,0,2.94,-5.47
Morrinhos,Todas,9º ano,Matemática,372,80.38,19.68,63.66,14.46,2.2,16.66,-2.06
Morro Agudo De Goiás,Todas,9º ano,Matemática,23,86.95999999999999,40,45,15,0,15,-8.34
Mossâmedes,Todas,9º ano,Matemática,56,100,20.98,58.48,18.75,1.79,20.54,-2.79
Mozarlândia,Todas,9º ano,Matemática,153,79.73999999999999,32.6,46.2,21.2,0,21.2,7.85
Mundo Novo,Todas,9º ano,Matemática,58,94.83,23.59,65.48,10.93,0,10.93,1.43
Mutunópolis,Todas,9º ano,Matemática,64,92.19,30.08,50.73,15.85,3.34,19.19,0.98
Nazário,Todas,9º ano,Matemática,85,80,23,62.15,13.3,1.55,14.86,5.48
Nerópolis,Todas,9º ano,Matemática,340,87.34999999999999,23.76,63.25,12.36,0.63,12.99,-2.94
Niquelândia,Todas,9º ano,Matemática,439,90.66,20.12,64.47,12.76,2.65,15.41,0.74
Nova América,Todas,9º ano,Matemática,31,70.97,17.17,66.54000000000001,16.29,0,16.29,-3.8
Nova Aurora,Todas,9º ano,Matemática,29,79.31,34.79,56.52,8.69,0,8.69,-9.18
Nova Crixás,Todas,9º ano,Matemática,150,86,34.23,57.76,6.8,1.21,8.01,1.83
Nova Glória,Todas,9º ano,Matemática,74,93.23999999999999,32.54,44.53,20.07,2.86,22.95,10.52
Nova Iguaçu De Goiás,Todas,9º ano,Matemática,49,81.63,9.9,72.55,17.55,0,17.55,11.19
Nova Roma,Todas,9º ano,Matemática,43,97.67,28.25,57.56,9.42,4.77,14.19,9.32
Nova Veneza,Todas,9º ano,Matemática,73,95.89,32.46,51.73,15.81,0,15.81,6.83
Novo Brasil,Todas,9º ano,Matemática,31,100,39.05,41.4,19.55,0,19.55,-12.31
Novo Gama,Todas,9º ano,Matemática,1100,76.91,32,59.63,7.82,0.55,8.380000000000001,2.44
Novo Planalto,Todas,9º ano,Matemática,51,90.2,32.7,47.77,17.37,2.16,19.53,7.67
Orizona,Todas,9º ano,Matemática,114,93.86,17.66,53.23,24.23,4.88,29.11,7.76
Ouro Verde De Goiás,Todas,9º ano,Matemática,52,96.15000000000001,19.87,66.36,11.69,2.08,13.79,-3.54
Ouvidor,Todas,9º ano,Matemática,52,84.62,29.64,54.7,13.45,2.21,15.67,2.42
Padre Bernardo,Todas,9º ano,Matemática,234,81.62,26.98,60.1,10.68,2.24,12.92,4
Palestina De Goiás,Todas,9º ano,Matemática,53,98.11,36.66,55.79,7.55,0,7.55,-4.97
Palmeiras De Goiás,Todas,9º ano,Matemática,240,88.33,30.89,56.53,10.69,1.89,12.58,2.33
Palmelo,Todas,9º ano,Matemática,26,96.15000000000001,7.69,59.87,24.28,8.16,32.46,12.31
Palminópolis,Todas,9º ano,Matemática,69,91.3,15.81,57.04,19.02,8.130000000000001,27.14,9.98
Panamá,Todas,9º ano,Matemática,29,86.20999999999999,23.93,60.31,15.76,0,15.76,4.86
Paranaiguara,Todas,9º ano,Matemática,79,82.28,14.28,54.13,28.15,3.44,31.61,6.38
Paraúna,Todas,9º ano,Matemática,83,92.77,27.24,59.75,13.01,0,13.01,-3.68
Perolândia,Todas,9º ano,Matemática,41,90.23999999999999,22.33,53.38,24.29,0,24.29,-15.4
Petrolina De Goiás,Todas,9º ano,Matemática,57,80.7,35.26,62.67,2.07,0,2.07,-8.09
Pilar De Goiás,Todas,9º ano,Matemática,31,83.87,22.74,77.26000000000001,0,0,0,-15.4
Piracanjuba,Todas,9º ano,Matemática,229,78.59999999999999,32.07,54.99,12.31,0.63,12.94,-6.26
Piranhas,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,23.56,67.06999999999999,9.369999999999999,0,9.380000000000001,-4.76
Pirenópolis,Todas,9º ano,Matemática,252,91.67,21.73,58.28,19.1,0.89,19.98,7.69
Pires Do Rio,Todas,9º ano,Matemática,231,85.28,21.36,60.69,14.55,3.4,17.95,3.13
Planaltina,Todas,9º ano,Matemática,1277,77.45,33.31,59.25,6.98,0.46,7.43,-1.65
Pontalina,Todas,9º ano,Matemática,152,85.53,18.84,59.04,19.38,2.74,22.12,1.64
Porangatu,Todas,9º ano,Matemática,372,91.94,25.16,58.65,12.89,3.3,16.19,9.23
Porteirão,Todas,9º ano,Matemática,45,75.56,46.02,39.85,14.13,0,14.13,6.41
Portelândia,Todas,9º ano,Matemática,61,91.8,17.38,55.79,25.26,1.57,26.85,3.67
Posse,Todas,9º ano,Matemática,407,89.93000000000001,14.21,61.88,19.33,4.58,23.91,1.88
Professor Jamil,Todas,9º ano,Matemática,35,97.14,11.86,58.48,29.66,0,29.66,4.57
Quirinópolis,Todas,9º ano,Matemática,475,86.95,13.88,54,26.83,5.29,32.11,15.2
Rialma,Todas,9º ano,Matemática,71,84.51000000000001,26.08,49.03,19.47,5.42,24.89,6.28
Rianápolis,Todas,9º ano,Matemática,75,81.33,20.13,64.51000000000001,15.36,0,15.36,-16.15
Rio Quente,Todas,9º ano,Matemática,35,82.86,24.2,65.31,10.49,0,10.49,-3.69
Rio Verde,Todas,9º ano,Matemática,2125,90.92,19.69,56.72,19.84,3.75,23.59,3.38
