Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Ribeirão,Todas,9º ano,Matemática,334,79.04000000000001,43.5,51.04,5.46,0,5.46,0.64
Rio Formoso,Todas,9º ano,Matemática,343,91.84,47.22,48.82,3.96,0,3.96,0.6
Sairé,Todas,9º ano,Matemática,135,94.81,32.22,59.28,7.71,0.79,8.49,2.71
Salgadinho,Todas,9º ano,Matemática,121,90.91,43.04,50.74,6.22,0,6.21,3.76
Salgueiro,Todas,9º ano,Matemática,655,91.76000000000001,25.52,59.63,13.76,1.09,14.85,3.08
Saloá,Todas,9º ano,Matemática,157,75.8,41.39,55.6,3.01,0,3.01,-3.14
Sanharó,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,43.34,47.86,8.09,0.71,8.81,3.45
Santa Cruz,Todas,9º ano,Matemática,111,89.19,51.99,44.92,3.09,0,3.09,-2.91
Santa Cruz Da Baixa Verde,Todas,9º ano,Matemática,166,98.19,13.12,61.48,20.08,5.32,25.41,13.21
Santa Cruz Do Capibaribe,Todas,9º ano,Matemática,966,75.88,28.02,60.07,11.13,0.78,11.91,5.86
Santa Filomena,Todas,9º ano,Matemática,79,97.47,44.15,54.55,1.3,0,1.3,-2.16
Santa Maria Da Boa Vista,Todas,9º ano,Matemática,231,85.28,43.89,48.68,7.43,0,7.43,3.73
Santa Maria Do Cambucá,Todas,9º ano,Matemática,235,85.95999999999999,30.83,60.43,8.74,0,8.74,2.15
Santa Terezinha,Todas,9º ano,Matemática,133,93.98,31.51,54.6,12.41,1.48,13.89,6.02
São Benedito Do Sul,Todas,9º ano,Matemática,154,76.62,46.61,51.13,2.26,0,2.26,0.39
São Bento Do Una,Todas,9º ano,Matemática,395,91.39,25.16,59.71,13,2.13,15.13,8.029999999999999
São Caitano,Todas,9º ano,Matemática,326,89.26000000000001,41.05,50.63,8,0.32,8.32,4.99
