Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Morro Do Chapéu Do Piauí,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,34.8,56.54,4.33,4.33,8.699999999999999,3.96
Murici Dos Portelas,Todas,9º ano,Matemática,92,89.13,34.19,64.67,1.14,0,1.14,-3.45
Nazaré Do Piauí,Todas,9º ano,Matemática,85,89.41,46.16,50.98,2.86,0,2.86,-0.74
Nazária,Todas,9º ano,Matemática,132,81.06,45.85,49.84,3.46,0.85,4.31,3.46
Nossa Senhora De Nazaré,Todas,9º ano,Matemática,74,95.95,55.64,44.36,0,0,0,0
Nossa Senhora Dos Remédios,Todas,9º ano,Matemática,78,98.72,39.89,53.01,7.1,0,7.1,1.92
Nova Santa Rita,Todas,9º ano,Matemática,55,92.73,37.58,56.97,5.45,0,5.45,5.45
Novo Oriente Do Piauí,Todas,9º ano,Matemática,27,88.89,16.67,74.98999999999999,8.34,0,8.34,8.34
Novo Santo Antônio,Todas,9º ano,Matemática,46,78.26000000000001,25.47,63.08,11.45,0,11.46,0
Oeiras,Todas,9º ano,Matemática,293,97.61,28.33,59.85,10.42,1.4,11.82,5.8
Olho D'água Do Piauí,Todas,9º ano,Matemática,57,89.47,57.9,40.35,1.75,0,1.75,1.75
Padre Marcos,Todas,9º ano,Matemática,71,81.69,53.64,40.85,5.51,0,5.51,1.75
Paes Landim,Todas,9º ano,Matemática,55,87.27,29.16,68.72,2.12,0,2.12,-11.58
Pajeú Do Piauí,Todas,9º ano,Matemática,53,100,34.83,42.54,20.75,1.88,22.65,12.44
Palmeira Do Piauí,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Palmeirais,Todas,9º ano,Matemática,90,76.67,46.68,50.35,2.97,0,2.97,1.84
Paquetá,Todas,9º ano,Matemática,26,76.92,49.98,35.01,15.01,0,15.02,15.01
Parnaguá,Todas,9º ano,Matemática,48,91.67,57.55,40.37,0,2.08,2.08,0.83
Parnaíba,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,30.47,59.55,9.52,0.46,9.98,2.28
Passagem Franca Do Piauí,Todas,9º ano,Matemática,49,87.76000000000001,52.79,44.34,2.87,0,2.87,1.13
Patos Do Piauí,Todas,9º ano,Matemática,105,94.29000000000001,39.07,59,1.93,0,1.94,-3.83
Pau D'arco Do Piauí,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Paulistana,Todas,9º ano,Matemática,153,85.62,35.11,56.75,7.4,0.74,8.140000000000001,5
Pavussu,Todas,9º ano,Matemática,27,96.3,61.55,30.77,7.68,0,7.68,7.68
Pedro Ii,Todas,9º ano,Matemática,426,88.26000000000001,33.96,56.81,8.460000000000001,0.77,9.23,3.38
Pedro Laurentino,Todas,9º ano,Matemática,25,92,43.48,56.52,0,0,0,-3.58
Picos,Todas,9º ano,Matemática,484,83.26000000000001,39.09,53.45,7.18,0.28,7.46,-1.8
Pimenteiras,Todas,9º ano,Matemática,65,86.15000000000001,34.1,60.7,5.2,0,5.2,0.03
Pio Ix,Todas,9º ano,Matemática,127,91.34,39.33,55,5.67,0,5.67,3.39
