Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Cachoeira Do Arari,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,51.71,46.84,1.45,0,1.45,-1.78
Cachoeira Do Piriá,Todas,9º ano,Matemática,104,94.23,65.70999999999999,33.43,0.86,0,0.86,0.12
Cametá,Todas,9º ano,Matemática,698,82.23,51.6,44.31,3.59,0.5,4.09,1.32
Canaã Dos Carajás,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,36.91,55.16,7.69,0.24,7.93,2.54
Capanema,Todas,9º ano,Matemática,614,78.5,50.5,47.68,1.82,0,1.82,0.59
Capitão Poço,Todas,9º ano,Matemática,472,74.36,46.57,49.65,3.78,0,3.78,0.18
Castanhal,Todas,9º ano,Matemática,1918,76.12,47.75,48.9,3.21,0.14,3.35,-0.43
Chaves,Todas,9º ano,Matemática,52,92.31,27.06,66.73,6.21,0,6.21,5.21
Colares,Todas,9º ano,Matemática,74,82.43000000000001,42.03,56.36,1.61,0,1.61,0.53
Conceição Do Araguaia,Todas,9º ano,Matemática,394,65.23,51.08,46.46,2.46,0,2.46,0.4
Concórdia Do Pará,Todas,9º ano,Matemática,353,79.89,45.76,50.59,3.35,0.3,3.65,2.35
Cumaru Do Norte,Todas,9º ano,Matemática,51,78.43000000000001,44.81,48.19,4.66,2.34,7,3.51
Curionópolis,Todas,9º ano,Matemática,261,86.97,38.58,54.84,6.58,0,6.58,2.46
Curralinho,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,54.86,44.41,0.73,0,0.73,-1.04
Curuá,Todas,9º ano,Matemática,153,83.66,49.57,50.43,0,0,0,-0.83
Curuçá,Todas,9º ano,Matemática,279,69.18000000000001,54.9,43.54,1.56,0,1.56,0.07000000000000001
Dom Eliseu,Todas,9º ano,Matemática,511,88.26000000000001,24.16,64.59999999999999,11.24,0,11.23,4.05
Eldorado Dos Carajás,Todas,9º ano,Matemática,328,79.56999999999999,40.3,57.41,2.29,0,2.29,-0.83
Faro,Todas,9º ano,Matemática,83,79.52,44.95,51.95,3.1,0,3.1,-1.45
Floresta Do Araguaia,Todas,9º ano,Matemática,168,85.70999999999999,43.96,54.09,1.95,0,1.95,-2.5
Garrafão Do Norte,Todas,9º ano,Matemática,174,86.78,41.91,52.34,5.12,0.63,5.74,0.88
Goianésia Do Pará,Todas,9º ano,Matemática,266,76.69,36.01,55.25,8.220000000000001,0.52,8.74,5.93
Gurupá,Todas,9º ano,Matemática,207,78.73999999999999,56.91,41.29,1.8,0,1.8,1.8
Igarapé-Açu,Todas,9º ano,Matemática,269,81.78,62.37,36.64,0.99,0,0.99,-0.8
Igarapé-Miri,Todas,9º ano,Matemática,394,75.89,44.76,50.33,4.14,0.77,4.9,2.14
Inhangapi,Todas,9º ano,Matemática,126,61.9,49.83,50.17,0,0,0,-1.18
Ipixuna Do Pará,Todas,9º ano,Matemática,179,92.18000000000001,30.04,62.84,7.12,0,7.12,4.97
Irituia,Todas,9º ano,Matemática,195,83.08,37.74,57.31,4.95,0,4.95,2.71
Itaituba,Todas,9º ano,Matemática,1044,83.43000000000001,36.64,55.62,7.05,0.6899999999999999,7.73,2.09
Itupiranga,Todas,9º ano,Matemática,390,78.72,46.92,51.63,1.45,0,1.45,-0.27
Jacareacanga,Todas,9º ano,Matemática,61,80.33,63.23,36.77,0,0,0,-6.31
Jacundá,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,38.36,55.59,5.76,0.29,6.05,-1.86
Juruti,Todas,9º ano,Matemática,387,85.53,42.36,53.64,3.41,0.59,4,1.36
Limoeiro Do Ajuru,Todas,9º ano,Matemática,173,65.90000000000001,40.57,54.56,4.87,0,4.87,2.06
Mãe Do Rio,Todas,9º ano,Matemática,425,86.81999999999999,39.08,55.23,5.69,0,5.69,-1.46
Magalhães Barata,Todas,9º ano,Matemática,81,86.42,55.96,39.72,4.32,0,4.32,0.24
Marabá,Todas,9º ano,Matemática,2706,84.52,36.09,58.03,5.59,0.29,5.88,1.29
Maracanã,Todas,9º ano,Matemática,283,85.87,55.64,43.21,0.71,0.44,1.14,0.34
Marapanim,Todas,9º ano,Matemática,213,77.93000000000001,60.09,38.38,1.53,0,1.53,0.3
Marituba,Todas,9º ano,Matemática,1274,77.94,38.93,54.07,6.45,0.55,7,2.62
Medicilândia,Todas,9º ano,Matemática,142,78.87,31.37,60.19,8.44,0,8.44,2.29
Melgaço,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,45.2,51.64,3.16,0,3.16,0.1
Mocajuba,Todas,9º ano,Matemática,396,83.59,54.11,44.24,1.65,0,1.65,-1.04
Moju,Todas,9º ano,Matemática,487,87.06,41.32,55.19,3.49,0,3.49,1.61
Mojuí Dos Campos,Todas,9º ano,Matemática,198,97.47,49.47,47.91,2.08,0.54,2.61,1.24
Monte Alegre,Todas,9º ano,Matemática,523,87.76000000000001,41.93,53.18,4.89,0,4.89,1.6
Muaná,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,37.72,57.54,4.74,0,4.74,4.52
Nova Esperança Do Piriá,Todas,9º ano,Matemática,190,83.68000000000001,43.71,53.25,3.04,0,3.04,0.82
Nova Ipixuna,Todas,9º ano,Matemática,119,90.76000000000001,33.76,62.7,3.54,0,3.54,0.78
Nova Timboteua,Todas,9º ano,Matemática,94,90.43000000000001,42.74,53.43,3.83,0,3.83,2.18
Novo Progresso,Todas,9º ano,Matemática,288,78.47,25.54,64.22,10.24,0,10.24,-1.89
Novo Repartimento,Todas,9º ano,Matemática,347,75.79000000000001,36.76,52.29,9.970000000000001,0.98,10.95,6.05
Óbidos,Todas,9º ano,Matemática,335,76.72,39.8,52.29,7.91,0,7.91,3.08
Oeiras Do Pará,Todas,9º ano,Matemática,257,80.16,32.58,63.92,3.5,0,3.49,-0.19
Oriximiná,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,35.18,56.25,7.31,1.26,8.57,-1
