Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Ibarama,Todas,9º ano,Matemática,32,78.13,12.18,80.14,7.68,0,7.68,-13.37
Ibiaçá,Todas,9º ano,Matemática,20,90,11.13,44.43,44.44,0,44.43,21.15
Ibiraiaras,Todas,9º ano,Matemática,36,88.89,21.89,53.12,24.99,0,24.99,-1.27
Ibirapuitã,Todas,9º ano,Matemática,43,83.72,27.83,58.28,13.89,0,13.89,0.18
Ibirubá,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,9.58,42.33,35.19,12.9,48.09,17.09
Igrejinha,Todas,9º ano,Matemática,261,84.67,17.33,53.36,23.67,5.64,29.31,6.51
Ijuí,Todas,9º ano,Matemática,547,81.90000000000001,14.57,59.56,22.07,3.8,25.87,10.26
Ilópolis,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Imbé,Todas,9º ano,Matemática,122,76.23,23.79,65.14,9.09,1.98,11.07,-5.34
Independência,Todas,9º ano,Matemática,20,80,31.27,56.24,12.49,0,12.48,-8.84
Inhacorá,Todas,9º ano,Matemática,26,96.15000000000001,32,56.01,11.99,0,11.99,-6.94
Ipê,Todas,9º ano,Matemática,36,91.67,18.2,66.91,14.89,0,14.9,-20.87
Ipiranga Do Sul,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Iraí,Todas,9º ano,Matemática,20,70,0,57.14,35.72,7.14,42.84,25.23
Itaara,Todas,9º ano,Matemática,57,84.20999999999999,16.45,54.13,27.28,2.14,29.42,22.61
Itacurubi,Todas,9º ano,Matemática,20,95,42.09,47.38,10.53,0,10.53,4.67
Itapuca,Todas,9º ano,Matemática,22,86.36,15.8,57.87,26.33,0,26.33,21.99
Itaqui,Todas,9º ano,Matemática,280,77.5,28.33,63.47,7.27,0.93,8.210000000000001,2.21
Itati,Todas,9º ano,Matemática,34,94.12,6.2,71.98,21.82,0,21.83,0.41
Ivoti,Todas,9º ano,Matemática,212,92.45,8.4,50.97,33.02,7.61,40.62,0.08
Jaboticaba,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Jacuizinho,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Jacutinga,Todas,9º ano,Matemática,28,85.70999999999999,15.48,77.38,7.14,0,7.13,-37.87
Jaguarão,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,28.4,54.25,15.8,1.55,17.34,2.54
Jaguari,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,17.11,64.31,16.08,2.5,18.58,-5.05
