"Questao";"Opcao";"Proficiencia";"Porcentagem"
"27 - Seus pais ou responsáveis incentivam você a estudar?";"NI";"Avançado";"0.0149253731343284"
"28 - Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?";"Sim.";"Insuficiente";"0.974358974358974"
"28 - Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?";"Sim.";"Basico";"0.910769230769231"
"28 - Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?";"Sim.";"Proficiente";"0.957559681697613"
"28 - Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?";"Sim.";"Avançado";"0.947761194029851"
"28 - Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?";"Não.";"Insuficiente";"0"
"28 - Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?";"Não.";"Basico";"0.0738461538461539"
"28 - Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?";"Não.";"Proficiente";"0.0371352785145889"
"28 - Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?";"Não.";"Avançado";"0.0373134328358209"
"28 - Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?";"NI";"Insuficiente";"0.0256410256410256"
"28 - Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?";"NI";"Basico";"0.0153846153846154"
"28 - Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?";"NI";"Proficiente";"0.00530503978779841"
"28 - Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?";"NI";"Avançado";"0.0149253731343284"
"29 - Seus pais ou responsáveis incentivam você a ler?";"Sim.";"Insuficiente";"0.897435897435897"
"29 - Seus pais ou responsáveis incentivam você a ler?";"Sim.";"Basico";"0.849230769230769"
"29 - Seus pais ou responsáveis incentivam você a ler?";"Sim.";"Proficiente";"0.877984084880637"
"29 - Seus pais ou responsáveis incentivam você a ler?";"Sim.";"Avançado";"0.865671641791045"
