"rules_a";"gera";"rules_b";"support";"confidence";"lift";"count"
"{TX_RESP_Q045_alunos=B},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.587545787545788";"0.954761904761905";"1.03596979332273";802
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q045_alunos=B}";"=>";"{TX_RESP_Q055_alunos=A}";"0.587545787545788";"0.802802802802803";"1.03282358701774";802
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q045_alunos=B}";"=>";"{TX_RESP_Q029_alunos=A}";"0.550915750915751";"0.899521531100478";"1.02405912423032";752
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q045_alunos=B}";"=>";"{TX_RESP_Q028_alunos=A}";"0.561172161172161";"0.916267942583732";"1.03364110878247";766
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q028_alunos=A}";"=>";"{TX_RESP_Q045_alunos=B}";"0.561172161172161";"0.807165437302424";"1.04533284811936";766
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q045_alunos=B}";"=>";"{TX_RESP_Q030_alunos=A}";"0.572161172161172";"0.934210526315789";"1.03506279904306";781
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q030_alunos=A}";"=>";"{TX_RESP_Q045_alunos=B}";"0.572161172161172";"0.805154639175258";"1.04272873100022";781
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q045_alunos=B}";"=>";"{TX_RESP_Q027_alunos=A}";"0.57948717948718";"0.946172248803828";"1.02664953864644";791
"{TX_RESP_Q029_alunos=A},{TX_RESP_Q045_alunos=B}";"=>";"{TX_RESP_Q028_alunos=A}";"0.671794871794872";"0.966280295047418";"1.09006000226424";917
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q045_alunos=B}";"=>";"{TX_RESP_Q029_alunos=A}";"0.671794871794872";"0.948293691830403";"1.07958372756339";917
"{TX_RESP_Q029_alunos=A},{TX_RESP_Q045_alunos=B}";"=>";"{TX_RESP_Q030_alunos=A}";"0.676923076923077";"0.973656480505796";"1.07876712328767";924
"{TX_RESP_Q030_alunos=A},{TX_RESP_Q045_alunos=B}";"=>";"{TX_RESP_Q029_alunos=A}";"0.676923076923077";"0.939979654120041";"1.07011862207995";924
"{TX_RESP_Q029_alunos=A},{TX_RESP_Q045_alunos=B}";"=>";"{TX_RESP_Q027_alunos=A}";"0.682783882783883";"0.982086406743941";"1.06561839841453";932
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q045_alunos=B}";"=>";"{TX_RESP_Q029_alunos=A}";"0.682783882783883";"0.932932932932933";"1.06209629145409";932
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q045_alunos=B}";"=>";"{TX_RESP_Q030_alunos=A}";"0.685714285714286";"0.96794208893485";"1.07243583717213";936
"{TX_RESP_Q030_alunos=A},{TX_RESP_Q045_alunos=B}";"=>";"{TX_RESP_Q028_alunos=A}";"0.685714285714286";"0.952187182095626";"1.07416157319052";936
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q030_alunos=A}";"=>";"{TX_RESP_Q045_alunos=B}";"0.685714285714286";"0.80481513327601";"1.04228904831286";936
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q045_alunos=B}";"=>";"{TX_RESP_Q027_alunos=A}";"0.694505494505494";"0.980351602895553";"1.06373603970781";948
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q045_alunos=B}";"=>";"{TX_RESP_Q028_alunos=A}";"0.694505494505494";"0.948948948948949";"1.07050852505398";948
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q028_alunos=A}";"=>";"{TX_RESP_Q045_alunos=B}";"0.694505494505494";"0.804071246819338";"1.04132566594725";948
"{TX_RESP_Q030_alunos=A},{TX_RESP_Q045_alunos=B}";"=>";"{TX_RESP_Q027_alunos=A}";"0.702564102564103";"0.97558494404883";"1.05856394962373";959
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q045_alunos=B}";"=>";"{TX_RESP_Q030_alunos=A}";"0.702564102564103";"0.95995995995996";"1.063592001092";959
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q030_alunos=A}";"=>";"{TX_RESP_Q045_alunos=B}";"0.702564102564103";"0.801839464882943";"1.0384353601188";959
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q029_alunos=A}";"0.543589743589744";"0.898305084745763";"1.02267426245035";742
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q028_alunos=A}";"0.553113553113553";"0.914043583535109";"1.03113181117804";755
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q030_alunos=A}";"0.564102564102564";"0.932203389830508";"1.03283898305085";770
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.574358974358974";"0.949152542372881";"1.02988332300396";784
"{TX_RESP_Q029_alunos=A},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q028_alunos=A}";"0.674725274725275";"0.968454258675079";"1.09251244883594";921
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q029_alunos=A}";"0.674725274725275";"0.949484536082474";"1.0809394426627";921
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q029_alunos=A}";"=>";"{TX_RESP_Q055_alunos=A}";"0.674725274725275";"0.802264808362369";"1.03213144525413";921
"{TX_RESP_Q029_alunos=A},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q030_alunos=A}";"0.678388278388278";"0.973711882229232";"1.07882850587898";926
"{TX_RESP_Q030_alunos=A},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q029_alunos=A}";"0.678388278388278";"0.937246963562753";"1.06700759404767";926
"{TX_RESP_Q029_alunos=A},{TX_RESP_Q030_alunos=A}";"=>";"{TX_RESP_Q055_alunos=A}";"0.678388278388278";"0.801038062283737";"1.03055320925288";926
"{TX_RESP_Q029_alunos=A},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.683516483516484";"0.981072555205047";"1.0645183130802";933
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q029_alunos=A}";"0.683516483516484";"0.927435387673956";"1.05583761816093";933
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q030_alunos=A}";"0.690842490842491";"0.972164948453608";"1.07711457357076";943
"{TX_RESP_Q030_alunos=A},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q028_alunos=A}";"0.690842490842491";"0.954453441295547";"1.07671813832101";943
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q030_alunos=A}";"=>";"{TX_RESP_Q055_alunos=A}";"0.690842490842491";"0.810834049871023";"1.04315596425443";943
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.695970695970696";"0.979381443298969";"1.06268336256208";950
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q028_alunos=A}";"0.695970695970696";"0.944333996023857";"1.06530240047319";950
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q028_alunos=A}";"=>";"{TX_RESP_Q055_alunos=A}";"0.695970695970696";"0.805767599660729";"1.0366378638425";950
"{TX_RESP_Q030_alunos=A},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.706959706959707";"0.976720647773279";"1.05979625135972";965
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q030_alunos=A}";"0.706959706959707";"0.959244532803181";"1.06279934032171";965
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q030_alunos=A}";"=>";"{TX_RESP_Q055_alunos=A}";"0.706959706959707";"0.80685618729097";"1.03803835593984";965
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q029_alunos=A}";"=>";"{TX_RESP_Q028_alunos=A}";"0.659340659340659";"0.955414012738854";"1.07780175817234";900
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q028_alunos=A}";"=>";"{TX_RESP_Q029_alunos=A}";"0.659340659340659";"0.948366701791359";"1.07966684565905";900
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q029_alunos=A}";"=>";"{TX_RESP_Q030_alunos=A}";"0.666666666666667";"0.966029723991507";"1.07031702374059";910
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q030_alunos=A}";"=>";"{TX_RESP_Q029_alunos=A}";"0.666666666666667";"0.938144329896907";"1.06802919959072";910
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q029_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.673992673992674";"0.976645435244161";"1.05971464158051";920
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q027_alunos=A}";"=>";"{TX_RESP_Q029_alunos=A}";"0.673992673992674";"0.929292929292929";"1.05795233401572";920
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q028_alunos=A}";"=>";"{TX_RESP_Q030_alunos=A}";"0.667399267399267";"0.959957850368809";"1.0635896637609";911
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q030_alunos=A}";"=>";"{TX_RESP_Q028_alunos=A}";"0.667399267399267";"0.939175257731959";"1.05948283206952";911
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q028_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.67985347985348";"0.977871443624868";"1.06104492889344";928
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q027_alunos=A}";"=>";"{TX_RESP_Q028_alunos=A}";"0.67985347985348";"0.937373737373737";"1.05745053844227";928
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q030_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.69010989010989";"0.971134020618557";"1.05373445003524";942
"{TX_RESP_Q013_alunos=A},{TX_RESP_Q027_alunos=A}";"=>";"{TX_RESP_Q030_alunos=A}";"0.69010989010989";"0.951515151515152";"1.05423553719008";942
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q029_alunos=A}";"=>";"{TX_RESP_Q030_alunos=A}";"0.817582417582418";"0.97212543554007";"1.0770707950586";1116
"{TX_RESP_Q029_alunos=A},{TX_RESP_Q030_alunos=A}";"=>";"{TX_RESP_Q028_alunos=A}";"0.817582417582418";"0.965397923875433";"1.08906460007435";1116
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q030_alunos=A}";"=>";"{TX_RESP_Q029_alunos=A}";"0.817582417582418";"0.959587274290628";"1.09244089191552";1116
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q029_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.824175824175824";"0.979965156794425";"1.06331672418473";1125
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q029_alunos=A}";"=>";"{TX_RESP_Q028_alunos=A}";"0.824175824175824";"0.963184931506849";"1.08656812521227";1125
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q028_alunos=A}";"=>";"{TX_RESP_Q029_alunos=A}";"0.824175824175824";"0.954198473282443";"1.08630601837409";1125
"{TX_RESP_Q029_alunos=A},{TX_RESP_Q030_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.83003663003663";"0.980103806228374";"1.06346716653556";1133
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q029_alunos=A}";"=>";"{TX_RESP_Q030_alunos=A}";"0.83003663003663";"0.970034246575342";"1.07475385273973";1133
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q030_alunos=A}";"=>";"{TX_RESP_Q029_alunos=A}";"0.83003663003663";"0.947324414715719";"1.0784802552852";1133
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q030_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.835897435897436";"0.981083404987102";"1.06453008569745";1141
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q028_alunos=A}";"=>";"{TX_RESP_Q030_alunos=A}";"0.835897435897436";"0.967769296013571";"1.07224439046958";1141
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q030_alunos=A}";"=>";"{TX_RESP_Q028_alunos=A}";"0.835897435897436";"0.954013377926421";"1.07622170319799";1141
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q029_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q030_alunos=A}";"0.504761904761905";"0.97316384180791";"1.07822130200308";689
"{TX_RESP_Q029_alunos=A},{TX_RESP_Q030_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q028_alunos=A}";"0.504761904761905";"0.975920679886686";"1.10093531243415";689
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q030_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q029_alunos=A}";"0.504761904761905";"0.967696629213483";"1.10167297654412";689
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q029_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.508424908424908";"0.980225988700565";"1.06359974131659";694
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q029_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q028_alunos=A}";"0.508424908424908";"0.977464788732394";"1.10267722034687";694
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q028_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q029_alunos=A}";"0.508424908424908";"0.963888888888889";"1.09733805949402";694
"{TX_RESP_Q029_alunos=A},{TX_RESP_Q030_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.506227106227106";"0.978753541076487";"1.06200205371177";691
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q029_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q030_alunos=A}";"0.506227106227106";"0.973239436619718";"1.07830505761844";691
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q030_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q029_alunos=A}";"0.506227106227106";"0.955739972337483";"1.08806093598054";691
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q030_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.512087912087912";"0.981741573033708";"1.06524423465104";699
